TBId,Phyllotaxie,Division,Forme_limbe,Base,Apex,Nervation,Taille,Marge,Pétiole ,Pilosité,Contraste,Aspect,Toucher
59380,alterne,simple,elliptique ou oblong ou ovale,arrondie ou asymétrique,aigu ou arrondi,pennée,moyen,dentée,court ou moyen,glabre_pubescent ou glabre,contrasté,mat ou luisant_mat,papyracé
59408,alterne,simple,elliptique ou obovale,en_coin,arrondi ou aigu,pennée,moyen,entière ou ondulée ou dentée,court,glabre,contrasté,mat,papyracé
59480,alterne,simple,oblong,en_coin,aigu,pennée ou uninervée,moyen,dentée ou entière ou ondulée,court,glabre_pubescent ou glabre,contrasté,mat ou luisant_mat,papyracé
59513,alterne,simple,oblong ou elliptique,en_coin,aigu,pennée,moyen,dentée,court,glabre_pubescent ou glabre,contrasté,mat ou luisant_mat,papyracé
59837,alterne,simple,oblong ou obovale,arrondie ou en_coin,aigu,pennée,moyen,dentée ou ondulée,court,glabre,contrasté,mat ou luisant_mat,papyracé
60004,alterne,simple,elliptique ou obovale ou oblong,arrondie ou en_coin,aigu,pennée,moyen,dentée ou ondulée,court,glabre,contrasté,mat ou luisant_mat,papyracé
60033,alterne,simple,oblong,en_coin ou arrondie,aigu,pennée,moyen,ondulée ou dentée ou entière,court,glabre ou glabre_pubescent,contrasté,mat ou luisant_mat,papyracé
60241,opposé,composé_penné,ovale ou elliptique,arrondie ou en_coin ou asymétrique,aigu,pennée,petit ou moyen,dentée,long,glabre,identique ou contrasté,mat,papyracé
75811,opposé,composé_penné ou composé_trifoliolé,elliptique ou oblong,en_coin ou asymétrique ou arrondie,aigu,pennée,moyen,dentée,long ou moyen,glabre,identique ou contrasté,mat,papyracé
65242,alterne,composé_penné,ovale ou oblong ou elliptique,arrondie,aigu,pennée,petit,entière,moyen,glabre,contrasté,mat,papyracé ou mou
75389,alterne,simple,elliptique ou ovale ou obovale,en_coin ou arrondie ou asymétrique,aigu ou arrondi,pennée,moyen ou grand,dentée,moyen,glabre_pubescent,contrasté,luisant_mat ou mat,papyracé
65277,alterne,composé_penné,elliptique ou oblong,arrondie ou asymétrique,aigu,pennée,petit,dentée,moyen,glabre_pubescent,contrasté,mat,papyracé
65300,alterne,composé_penné,elliptique ou oblong,arrondie ou asymétrique,aigu,pennée,petit,dentée,long,glabre,contrasté,mat,papyracé
65309,alterne,simple,elliptique ou lobé_peu_profond,arrondie ou en_coin,arrondi ou aigu,pennée,moyen,dentée,long,glabre_pubescent,contrasté,mat,papyracé
65311,alterne,simple,elliptique ou lobé_peu_profond,arrondie ou en_coin,aigu,pennée,moyen,dentée,moyen,glabre_pubescent,contrasté,mat ou luisant_mat,papyracé
65340,alterne,simple,lobé_peu_profond ou lobé_profond,tronquée ou arrondie ou en_coin,aigu,pennée,moyen,dentée,moyen ou long,glabre_pubescent ou glabre,contrasté,mat ou luisant_mat,papyracé
65481,alterne,simple,elliptique,en_coin,arrondi ou aigu,uninervée,petit,entière,absent ou court,glabre,identique,mat,papyracé
66503,alterne,simple,elliptique ou ovale ou obovale,arrondie ou asymétrique ou en_coin,aigu,pennée,moyen,entière ou ondulée,court ou moyen,glabre,contrasté,mat,papyracé
66663,opposé,simple,ovale,cordée ou tronquée,aigu,pennée,moyen,entière,long,glabre,identique,mat,papyracé
68299,alterne,simple,circulaire ou ovale,cordée ou asymétrique ou arrondie,aigu,pennée ou palmée,moyen,dentée,long,glabre_pubescent,contrasté,mat,papyracé
77122,alterne,simple,circulaire ou ovale,cordée ou asymétrique ou arrondie,aigu,pennée ou palmée,moyen,dentée,long,glabre_pubescent,contrasté,mat,papyracé
68332,alterne,simple,ovale ou circulaire,cordée ou tronquée,aigu,pennée ou palmée,moyen,dentée,long,glabre_pubescent,contrasté,mat,papyracé
68349,alterne,simple,ovale ou circulaire,cordée ou asymétrique,aigu,pennée ou palmée,moyen,dentée,long,glabre_pubescent,contrasté,mat,papyracé
68304,alterne,simple,ovale ou circulaire,cordée ou asymétrique ou tronquée,aigu,pennée ou palmée,moyen,dentée,long,glabre_pubescent,contrasté,mat,papyracé
77973,alterne,simple,ovale ou circulaire,cordée ou asymétrique,aigu,pennée ou palmée,moyen,dentée,long,glabre_pubescent,contrasté,mat,papyracé
68533,alterne,composé_penné,ovale ou oblong ou elliptique,arrondie,aigu,pennée,moyen,entière ou ondulée,moyen,glabre,contrasté ou identique,mat,papyracé
70199,alterne,simple,aciculaire,tronquée,aigu,uninervée,petit,entière,absent,glabre,identique,mat,coriace
75496,alterne,simple,obovale ou lobé_peu_profond,asymétrique ou arrondie,aigu,pennée,moyen ou petit,dentée,court,glabre ou glabre_pubescent,identique,mat,rude
70292,alterne,simple,ovale ou elliptique,asymétrique,aigu,pennée,moyen,dentée,court,glabre ou glabre_pubescent,identique,mat,rude
70296,alterne,simple,ovale,asymétrique,aigu,pennée,moyen,dentée,court,glabre,identique,mat,rude
71453,opposé,simple,ovale ou elliptique,cordée ou arrondie,aigu,pennée,moyen,dentée,moyen,pubescent ou glabre_pubescent,contrasté ou identique,mat,papyracé
71459,opposé,simple,ovale,arrondie,aigu,pennée ou palmée,moyen,dentée,long,glabre_pubescent,identique,mat,papyracé
71463,opposé,simple,ovale ou elliptique,en_coin ou arrondie,aigu ou arrondi,pennée,moyen,entière,court,glabre_pubescent,contrasté,luisant_mat,papyracé
72745,alterne,composé_palmé,elliptique ou oblong,en_coin,aigu,palmée,moyen,entière,long,glabre,contrasté,mat ou luisant_mat,papyracé
72795,alterne,simple,lobé_profond,cordée,aigu ou arrondi,palmée,moyen ou grand,dentée,long ou moyen,glabre,contrasté ou identique,mat ou luisant_mat,papyracé
80162,alterne,simple,ovale ou elliptique,arrondie ou asymétrique ou cordée,aigu,pennée,moyen ou petit,dentée,court,glabre,contrasté ou identique,mat,papyracé
78590,alterne,simple,elliptique ou ovale,arrondie ou asymétrique,arrondi ou aigu,arquée,moyen ou petit,dentée ou ondulée,court,glabre,contrasté,luisant_mat,papyracé ou coriace
