TBId,Phyllotaxie,Division,Forme_limbe,Base,Apex,Nervation,Taille,Marge,Pétiole ,Pilosité,Contraste,Aspect,Toucher
19137,alterne,simple,circulaire ou elliptique ou ovale ou obovale,arrondie,arrondi,pennée,moyen,entière,moyen ou long,glabre,contrasté,mat,papyracé
19369,alterne,simple,lobé_profond,en_coin ou tronquée,aigu ou arrondi,pennée,petit ou moyen,dentée,moyen,glabre ou glabre_pubescent,contrasté,mat ou luisant_mat,papyracé ou coriace
19422,alterne,simple,elliptique ou oblong ou ovale,arrondie ou en_coin,arrondi ou aigu,pennée,moyen,entière ou dentée,court,pubescent,contrasté,mat,papyracé ou mou
19443,alterne,simple,lobé_peu-profond ou lobé_profond,en_coin,arrondi,pennée,petit,dentée,moyen ou petit,glabre,contrasté,mat ou luisant_mat,papyracé
19472,alterne,simple,lobé_profond ou lobé_peu_profond,en_coin ou tronquée,aigu ou arrondi,pennée,petit,dentée,moyen,glabre,contrasté,mat,papyracé
20470,alterne,simple,ovale ou elliptique,arrondie ou en_coin,aigu,pennée,moyen ou grand,entière ou dentée,moyen,glabre_pubescent,contrasté,mat,papyracé
21055,alterne,simple ou composé_trifoliolé,obovale,en_coin,aigu,uninervée ou pennée,petit,entière,court ou moyen,marge ou glabre_pubescent,identique,mat,papyracé
21572,alterne,simple,elliptique ou oblong ou obovale,en_coin,aigu ou arrondi,pennée,moyen,entière,absent ou court,glabre,identique,luisant_mat,coriace ou papyracé
21581,alterne,simple,obovale ou elliptique,en_coin,aigu,uninervée,petit ou moyen,entière,absent ou court,glabre,identique,mat,coriace ou papyracé
21588,alterne,simple,elliptique ou obovale,en_coin,aigu ou arrondi,pennée ou uninervée,moyen,entière,absent ou court,glabre,contrasté,mat ou luisant_mat,coriace ou papyracé
21595,alterne,simple,elliptique ou obovale,en_coin,aigu ou arrondi,pennée ou uninervée,moyen,entière,absent ou court,glabre,identique,mat,papyracé ou coriace
22549,alterne,simple,ovale ou elliptique,en_coin ou arrondie,aigu,pennée,moyen ou grand,entière,court,glabre,contrasté,luisant_mat,papyracé ou coriace
23606,alterne,simple,elliptique ou oblong,arrondie ou en_coin,arrondi ou aigu,pennée,moyen,entière,court,pubescent,contrasté,mat ou luisant_mat,papyracé
24979,alterne,simple,elliptique ou oblong ou obovale,en_coin,aigu ou arrondi,pennée,grand,dentée,court,glabre_pubescent,contrasté,luisant_mat ou mat,coriace ou gaufré
26384,opposé,simple,elliptique ou ovale,arrondie ou en_coin,aigu,pennée,moyen,dentée,court,glabre,contrasté,mat ou luisant_mat,papyracé
26393,opposé,simple,elliptique ou oblong ou obovale,arrondie ou en_coin,aigu,pennée,moyen ou grand,dentée,court,glabre,contrasté,mat,papyracé
75130,alterne,simple,ovale ou elliptique,arrondie,aigu,pennée,moyen,ondulée ou entière,court,marge,contrasté,luisant_mat,papyracé ou coriace
75134,alterne,simple,lobé_profond,cordée ou tronquée,arrondi,palmée,moyen ou grand,dentée ou ondulée,moyen ou long,glabre ou glabre_pubescent,contrasté,mat ou luisant_mat,rude ou papyracé
28021,opposé,simple,ovale ou elliptique,arrondie ou en_coin,aigu,pennée,moyen,dentée,court,glabre,contrasté,mat,papyracé
28182,alterne,simple,elliptique ou obovale,arrondie ou en_coin,aigu ou arrondi,pennée,moyen,entière ou ondulée,moyen,glabre,contrasté,mat ou luisant_mat,papyracé
75835,opposé,composé_penné,ovale ou elliptique,arrondie ou en_coin,aigu,pennée,moyen,dentée,moyen,glabre,identique,mat,papyracé
28210,opposé,composé_penné,ovale ou elliptique,en_coin,aigu,pennée,petit ou moyen,dentée,moyen,glabre ou glabre_pubescent,identique,mat,papyracé
75139,opposé,composé_penné,ovale ou elliptique ou oblong,en_coin ou arrondie,aigu,pennée,moyen,dentée,moyen,glabre,identique,mat,papyracé
75140,opposé,simple,ovale ou elliptique ou oblong,en_coin ou arrondie ou cordée ou asymétrique,aigu,pennée,moyen,dentée,moyen,glabre,identique,mat ou luisant_mat,papyracé
30178,alterne,simple,éventail ou lobé_peu_profond ou lobé_profond,en_coin,échancré ou arrondi,en_éventail ou arquée,moyen ou petit,ondulée ou entière,moyen ou long,glabre,identique,mat,papyracé
30278,alterne,composé_penné ou composé_bipenné,ovale ou elliptique,arrondie ou en_coin,arrondi ou aigu,pennée,petit,dentée,moyen ou petit,glabre,contrasté,mat ou luisant_mat,papyracé
30892,alterne,simple,lobé_peu_profond ou lobé_profond ou triangulaire ou deltoide,cordée ou tronquée ou arrondie,aigu,palmée,petit ou moyen,entière ou ondulée,moyen ou long,glabre,contrasté,luisant_mat ou mat,papyracé ou coriace
75171,alterne,composé_penné,obovale ou elliptique,en_coin,arrondi ou échancré,pennée ou uninervée,petit ou moyen,entière,moyen,glabre,identique ou contrasté,mat,papyracé
32100,alterne,simple,oblong,en_coin ou arrondie,arrondi ou aigu,pennée ou uninervée,moyen,entière,court,glabre_pubescent ou pubescent,contrasté,mat ou luisant_mat,papyracé ou coriace
35676,alterne,simple,lobé_peu_profond ou elliptique,arrondie ou en_coin,aigu,pennée,moyen,dentée ou entière,court,glabre,contrasté,luisant_mat,coriace
36331,alterne,composé_penné,elliptique ou oblong,arrondie ou asymétrique,aigu,pennée,moyen,dentée,moyen,glabre,identique,mat,papyracé
36333,alterne,composé_penné,elliptique ou ovale ou oblong,arrondie ou asymétrique,aigu ou arrondi,pennée,moyen ou grand,entière,moyen,glabre,identique,mat,papyracé
36801,alterne,simple,en_alène,tronquée,aigu,uninervée,petit,entière,absent,glabre,contrasté,mat_luisant,coriace
